Bolivia,1.44276,2.12046,3.11719,3.5086,4.43992,5.22758,6.20067,10.4992,12.5,16.8,22.4,30.0,35.34,36.99,34.6016,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401,65.9774,73.2831,79.61623675635025,South America
Bosnia and Herzegovina,1.08296,1.20053,2.64827,3.96504,15.469,21.3267,25.1224,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,73.2118,75.6762,78.8455,83.3772,Europe
Botswana,2.90267,3.43089,3.38592,3.34519,3.30489,3.26255,4.28993,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.7447,37.3121,39.363,41.4138,58.0,64.8263,67.4756,75.2388,77.3272,73.82405033810525,Africa
Brazil,2.87069,4.52849,9.14943,13.2076,19.0737,21.0227,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427,80.6899,80.5278,84.1506,South America
Brunei Darussalam,8.99628,12.9178,15.3299,19.595,29.7156,36.4664,42.1863,44.68,46.0,49.0,53.0,56.0,60.2731,64.5,68.77,71.2,90.0,94.8667,95.0,95.0,95.0503,95.6225,98.9704,100.0,Asia
Bulgaria,5.37092,7.6123,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.98,51.9,53.0615,55.4904,56.6563,59.8255,63.4101,64.782,67.947,70.1625,75.2714,79.1269,80.3896,Europe
Burkina Faso,0.0770802,0.157732,0.200993,0.37344,0.400295,0.469914,0.632708,0.75,0.92,1.13,2.4,3.0,3.72503,5.0,6.0,6.55,7.14,7.79,8.5,9.27181,15.5971,18.114,19.9237,21.663916966045655,Africa
Burundi,0.0772484,0.106001,0.118228,0.201273,0.34906,0.542143,0.657593,0.7,0.81,0.9,1.0,1.11,1.22,1.26422,1.04239,2.0,2.2,2.66075,4.0,6.1,9.17302,10.1846,11.275,11.558721099088448,Africa
Cabo Verde,1.82244,2.68533,3.51876,4.32489,5.31883,6.07409,6.80891,8.28322,14.0,21.0,30.0,32.0,34.74,37.5,40.26,42.683,50.3228,57.1621,59.5,61.9434,69.3734,71.3752,72.1021,73.68999983142845,Africa
Cambodia,0.0470226,0.0769561,0.226983,0.26057,0.300437,0.317322,0.468357,0.49,0.51,0.53,1.26,3.1,4.94,6.0,14.0,6.43319,32.3985,32.9003,42.6031,52.3059,53.6508,55.6004,56.7328,100.0,Asia
Cameroon,0.25212,0.277051,0.360872,0.587623,0.976075,1.40265,2.02874,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2149,18.3,20.6,23.203,29.7,36.5392,41.2264,42.5456,43.8629,41.367656521400775,Africa
Canada,51.3,60.2,61.5933,64.2,65.956,71.66,72.4,73.2,76.7,80.3,80.3,83.0,83.0,85.8,87.12,90.0,91.16,92.7014,94.64,91.9129,92.3,93.2917,94.0,97.430602199376,North America
Cayman Islands,38.0344,38.0344,38.0344,38.0344,38.0344,38.0344,44.5,52.0,61.0,64.5,66.0,69.4659,69.7,71.4,74.1,77.0,79.0,81.0677,82.6295410990223,84.46370031456736,86.24151686746569,87.9629907577173,89.62812198532217,91.23691055028027,North America
Central African Republic,0.0533942,0.0785434,0.128537,0.151563,0.223401,0.268196,0.311159,0.375816,1.0,1.8,2.0,2.2,2.4,2.5,2.7,2.9,3.1,4.0,5.1,7.50916,8.56567248,10.5826396,10.120191264155842,11.269743025262564,Africa
Chad,0.0357071,0.0459341,0.16607,0.320309,0.36092,0.399258,0.581046,0.847225,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,6.4,7.0,7.6,8.34311,11.0057,12.1839,12.808666097571997,Africa
Chile,16.6,19.1,22.1,25.4738,28.1779,31.1753,34.4978,35.9,37.3,41.56,45.0,52.2496,55.05,58.0,61.11,76.6296,83.5586,82.3275,84.9,85.0176,87.4593,88.8045,90.6769,94.1192,South America
China,1.77591,2.63965,4.5957,6.2,7.3,8.52326,10.5232,16.0,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113,77.4827,Asia
Colombia,2.20753,2.8542,4.6,7.38892,9.11869,11.0073,15.3417,21.8,25.6,30.0,36.5,40.3509,48.98,51.7,52.5681,55.905,58.1365,62.2599,64.1264,65.0069,69.7953,73.0284,72.7964,76.034809583059,South America
